,roi,Zestimate,bedrooms,beds,accommodates,amenities_score,publicSchoolScores,closenessToDowntown,price,minimum_nights_avg_ntm,bathrooms,bikeScore,walkScore,transitScore,property_type,neighbourhood,street
180,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","(3,5]","(30,33]","[2.75,3.47373]","[898,2400.33]","(135,199]","(28,353]",1.0,3,5,5,Apartment,South Boston,Dorchester Avenue
181,"(9.92724,1270.48]","[165887,544583]","(2,6]","(2,8]","(5,20]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(2,28]",2.0,2,5,3,Condominium,East Boston,Meridian Street
182,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(33,52]","[2.75,3.47373]","(2400.33,4704.33]","(135,199]","(28,353]",1.0,2,5,4,Apartment,South Boston,Dorchester Avenue
183,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(30,33]","[2.75,3.47373]","[898,2400.33]","(135,199]","(28,353]",1.0,2,5,4,Apartment,South Boston,Silver Street
184,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","(2,8]","(5,20]","[12,30]","[2.75,3.47373]","[898,2400.33]","(199,5555]","(28,353]",2.0,2,5,4,Apartment,South Boston,Silver Street
185,"(9.92724,1270.48]","(544583,870941]","(1,2]","(1,2]","(3,5]","[12,30]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(28,353]",1.0,4,5,5,Apartment,Fenway,Norway Street
186,"(9.92724,1270.48]","(544583,870941]","[0,1]","[0,1]","(3,5]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Mount Vernon Street
187,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","(3,5]","(30,33]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Pinckney Street
188,"(-12.0209,9.92724]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(33,52]","(3.70142,5.27273]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Pinckney Street
189,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","(33,52]","[2.75,3.47373]","(4704.33,19715]","(199,5555]","(2,28]",1.0,2,4,4,Apartment,East Boston,Hooten Court
190,"(-12.0209,9.92724]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Back Bay,Commonwealth Avenue
