player_name,height,nationality
Nacer Chadli,1.85,Belgium
Luka Milivojevic,1.86,Serbia
Robbie Brady,1.76,Republic of Ireland
Fernando Llorente,1.93,Basque Country
Christoph Kramer,1.91,Germany
Bruma,1.73,Portugal
Ignacio Camacho,1.82,Spain
Matheus Cunha,1.84,Brazil
Moussa Diaby,1.7,France
Xaver Schlager,1.74,Austria
Ozan Kabak,1.86,Turkey
Edson Álvarez,1.87,Mexico
Ivan Cavaleiro,1.75,Portugal
Djibril Sidibé,1.82,France
Keylor Navas,1.85,Costa Rica
M'Baye Niang,1.88,Senegal
Lukas Podolski,1.8,Germany
Daniel Sturridge,1.88,Great Britain
Jack Rodwell,1.88,England
Christopher Samba,1.94,Congo
Mathieu Debuchy,1.76,France
Gabriel Paulista,1.85,
Fernando,1.83,Brazil
Enner Valencia,,Ecuador
Jordy Clasie,1.69,Netherlands
Pierre-Emile Höjbjerg,1.85,Denmark
Isaac Success,1.82,Nigeria
Vicente Iborra,1.9,
José Izquierdo,1.71,Colombia
Diego Rico,1.81,
Domenico Criscito,1.83,Italy
Igor Denisov,1.76,Russia
Moubarak Boussoufa,1.67,Morocco
Sebastián Driussi,1.79,Argentina
Wilmar Barrios,1.78,Colombia
Raúl Albiol,1.9,Spain
